setor;cave;bacia;hidro;umidade;distancia;temperatura;d.subs;d.abrigo;d.alimento;Shelter.Av.;Trophic.Av.;GU;FZ;CRC;DTV;TM;ST;DP;FG;ACT;OTO;RC;XB;MB;SB;CB;CAG;CAF;ARE;SEF;HP;ES;ESR;ESC;BM;GRR;COG
S1;Cedrao;SF;Dis;93.2;18;20.9;1.178091705;1.035016633;0;4.5;3.5;0;0;0;3.5;0;0;0;0;0;0;0;0;0;0;0.5;0.5;4.5;6.5;65;16;0;0;0;3.5;0;0
S2;Cedrao;SF;Dis;76.5;51;22.4;1.130754926;0.8989148;0.636514168;8.6;1.8;0;0;0;1.2;0;0;0;0;0;0.6;0;0;0;0.5;0.4;7.2;8.6;12;67.5;0;0;2;0;0;0;0
S3;Cedrao;SF;Dis;76.4;93;22.7;1.618608673;1.175521231;0;15.8;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;1;1;10;15.8;12;29;0;31;0;0;0;0;0
S1;Cedro;SF;Dis;92.6;15;21.9;1.605553756;0.96322568;0.693147181;4;1;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;17;0;15;4;7;39.5;0;0;12.5;0;0;0;0
S2;Cedro;SF;Dis;92.1;35;21.9;0.653713595;0.557318879;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1.5;0.5;0;0;79;0;0.5;0;0;14.5;0;0
S1;Cedriculo;SF;Dis;71.8;6;22.8;1.019236375;1.114875512;0;10;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0.2;0.8;10;8;73;0;5;0;0;0;2;0
S1;Cinquentona;SF;Dis;66.8;19;24.2;0.708346578;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;10;80;0;0;0;0;0;0;0
S2;Cinquentona;SF;Dis;71;47;24.5;0.867740014;0.304636097;0;2;0.4;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;2;7.6;70;0;20;0;0;0;0;0
S1;Escrevidinha;SF;Dis;75.3;6;24.3;0.717394885;0.651756561;0.304636097;5;5.5;0;0;0;5;0;0;0;0.5;0;0;0;0;0;0;0;0;5;0;80.5;0;9;0;0;0;0;0
S1;Cristal;SF;Dis;59.7;27.4;26.9;1.457320888;0.84636583;0.61724177;10;13;9;4;0;0;0;0;0;0;0;0;0;0;0;0;1;6;10;19;50;0;0;0;0;0;0;0
